datetime,open,high,low,close,volume
8/27/2024 0:00,225.86,225.97,225.77,225.94,16121
8/27/2024 0:05,225.95,226.14,225.83,225.9,17986
8/27/2024 0:10,225.91,226.17,225.91,226.13,21655
8/27/2024 0:15,226.13,226.23,226.13,226.19,10099
8/27/2024 0:20,226.18,226.23,226.07,226.12,13430
8/27/2024 0:25,226.12,226.34,226.12,226.32,28533
8/27/2024 0:30,226.32,226.36,226.175,226.24,15940
8/27/2024 0:35,226.22,226.28,226.13,226.25,22676
8/27/2024 0:40,226.26,226.43,226.12,226.36,25232
8/27/2024 0:45,226.37,226.51,226.255,226.48,29707
8/27/2024 0:50,226.48,226.66,226.46,226.58,30368
8/27/2024 0:55,226.6,226.66,226.42,226.44,21313
8/27/2024 1:00,226.41,226.56,226.3,226.53,24307
8/27/2024 1:05,226.54,226.59,226.49,226.53,25221
8/27/2024 1:10,226.52,226.69,226.52,226.61,40671
8/27/2024 1:15,226.63,226.68,226.47,226.55,42848
8/27/2024 1:20,226.59,226.86,226.44,226.48,112274
8/27/2024 1:25,226.48,227.28,226.38,227.24,271964
8/27/2024 19:00,226.17,226.27,225.35,225.59,118291
8/27/2024 19:05,225.6,225.69,224.9,225.02,75970
8/27/2024 19:10,225.03,225.54,224.92,225.43,75811
8/27/2024 19:15,225.425,226.06,224.94,225.99,87607
8/27/2024 19:20,225.96,226.7,225.94,226.53,57950
8/27/2024 19:25,226.52,226.83,226.47,226.74,44801
8/27/2024 19:30,226.79,227.57,226.79,227.24,130764
8/27/2024 19:35,227.24,227.34,226.95,227.17,52881
8/27/2024 19:40,227.15,227.59,227.15,227.45,64337
8/27/2024 19:45,227.45,227.9,227.4,227.74,81112
8/27/2024 19:50,227.73,228.17,227.46,228.02,109964
8/27/2024 19:55,228.02,228.21,227.75,227.96,41362
8/27/2024 20:00,227.96,228.23,227.95,227.98,44745
8/27/2024 20:05,228,228.08,227.66,227.99,39550
8/27/2024 20:10,227.98,228.15,227.92,228.03,25163
8/27/2024 20:15,228.02,228.06,227.72,227.95,32161
8/27/2024 20:20,227.925,228.14,227.9,228.02,30414
8/27/2024 20:25,228.03,228.32,227.87,228.3,57401
8/27/2024 20:30,228.32,228.79,228.32,228.72,92719
8/27/2024 20:35,228.7,228.84,228.55,228.7,34098
8/27/2024 20:40,228.71,228.81,228.61,228.72,24476
8/27/2024 20:45,228.75,228.75,228.36,228.55,33494
8/27/2024 20:50,228.54,228.78,228.5,228.58,21731
8/27/2024 20:55,228.57,228.7,228.45,228.58,29038
8/27/2024 21:00,228.58,228.61,227.98,228.29,39899
8/27/2024 21:05,228.26,228.53,228.25,228.44,23884
8/27/2024 21:10,228.42,228.62,228.34,228.62,28473
8/27/2024 21:15,228.62,228.65,228.4,228.41,22736
8/27/2024 21:20,228.43,228.47,227.99,228.08,24934
8/27/2024 21:25,228.06,228.31,228.02,228.17,19289
8/27/2024 21:30,228.16,228.21,228.06,228.21,19619
8/27/2024 21:35,228.2,228.475,228.13,228.21,27278
8/27/2024 21:40,228.21,228.48,228.17,228.47,10225
8/27/2024 21:45,228.45,228.47,228.21,228.23,24664
8/27/2024 21:50,228.22,228.24,228.05,228.11,22939
8/27/2024 21:55,228.125,228.16,227.88,227.94,12246
8/27/2024 22:00,227.95,228.2,227.845,228.06,16460
8/27/2024 22:05,228.08,228.11,227.9,227.93,12663
8/27/2024 22:10,227.93,227.94,227.55,227.73,38812
8/27/2024 22:15,227.74,228.05,227.65,228.01,26176
8/27/2024 22:20,228.04,228.2,228.03,228.08,13222
8/27/2024 22:25,228.08,228.19,227.99,228.1,18885
8/27/2024 22:30,228.09,228.15,227.84,227.85,20361
8/27/2024 22:35,227.87,228.12,227.84,228.1,14508
8/27/2024 22:40,228.11,228.24,228.07,228.21,16083
8/27/2024 22:45,228.22,228.28,228.13,228.26,10642
8/27/2024 22:50,228.26,228.38,228.25,228.31,24327
8/27/2024 22:55,228.32,228.53,228.23,228.49,59872
8/27/2024 23:00,228.51,228.66,228.48,228.53,24322
8/27/2024 23:05,228.54,228.58,228.27,228.34,16393
8/27/2024 23:10,228.34,228.34,228.07,228.29,30185
8/27/2024 23:15,228.315,228.35,228.16,228.31,15602
8/27/2024 23:20,228.33,228.56,228.33,228.54,16394
8/27/2024 23:25,228.54,228.57,228.44,228.54,18359
8/27/2024 23:30,228.54,228.58,228.26,228.3,24273
8/27/2024 23:35,228.3,228.42,228.28,228.32,11961
8/27/2024 23:40,228.32,228.49,228.31,228.46,20299
8/27/2024 23:45,228.46,228.56,228.44,228.48,18609
8/27/2024 23:50,228.5,228.54,228.36,228.36,13126
8/27/2024 23:55,228.35,228.53,228.33,228.49,16667
8/28/2024 0:00,228.49,228.525,228.38,228.45,14294
8/28/2024 0:05,228.46,228.54,228.42,228.48,11016
8/28/2024 0:10,228.47,228.52,228.39,228.5,9712
8/28/2024 0:15,228.51,228.51,228.39,228.4,10365
8/28/2024 0:20,228.41,228.46,228.27,228.35,19494
8/28/2024 0:25,228.35,228.45,228.32,228.43,20595
8/28/2024 0:30,228.42,228.44,228.09,228.17,23312
8/28/2024 0:35,228.16,228.36,228.09,228.31,15157
8/28/2024 0:40,228.3,228.36,228.24,228.25,16647
8/28/2024 0:45,228.24,228.29,228.14,228.19,15131
8/28/2024 0:50,228.21,228.28,228.18,228.23,16697
8/28/2024 0:55,228.225,228.25,228.1,228.15,20002
8/28/2024 1:00,228.15,228.15,227.89,227.96,26226
8/28/2024 1:05,227.96,228.12,227.89,228.12,21644
8/28/2024 1:10,228.12,228.27,228.08,228.11,26726
8/28/2024 1:15,228.1,228.19,227.95,228.09,34369
8/28/2024 1:20,228.12,228.17,227.76,227.78,124700
