Time,Price
2024-02-09 09:15:00,704
2024-02-09 09:15:01,704.2
2024-02-09 09:15:02,703.65
2024-02-09 09:15:03,704.25
2024-02-09 09:15:04,703.9
2024-02-09 09:15:05,704.4
2024-02-09 09:15:06,704.4
2024-02-09 09:15:07,704.65
2024-02-09 09:15:08,704.65
2024-02-09 09:15:09,704.7
2024-02-09 09:15:10,704.75
2024-02-09 09:15:11,704
2024-02-09 09:15:12,704.05
2024-02-09 09:15:13,704.15
2024-02-09 09:15:14,704.1
2024-02-09 09:15:45,702.9
2024-02-09 09:15:46,702.7
2024-02-09 09:15:47,702.9
2024-02-09 09:15:48,703.15
2024-02-09 09:15:49,702.85
2024-02-09 09:15:50,702.85
2024-02-09 09:15:51,702.85
2024-02-09 09:15:52,702.75
2024-02-09 09:15:53,702.45
2024-02-09 09:15:54,702.5
2024-02-09 09:15:55,702.65
2024-02-09 09:15:56,702.75
2024-02-09 09:15:57,702.85
2024-02-09 09:15:58,702.5
2024-02-09 09:15:59,702.55
2024-02-09 09:16:00,702.8
2024-02-09 09:16:01,702.8
2024-02-09 09:16:02,702.75
2024-02-09 09:16:03,702.75
2024-02-09 09:16:04,702.75
2024-02-09 09:16:05,702.8
2024-02-09 09:16:06,703.05
2024-02-09 09:16:07,703
2024-02-09 09:16:08,702.7
2024-02-09 09:16:09,702.85
2024-02-09 09:16:10,703
2024-02-09 09:16:11,703.3
2024-02-09 09:16:12,703.3
2024-02-09 09:16:13,703.35
2024-02-09 09:16:14,703.35
2024-02-09 09:16:15,703.35
2024-02-09 09:16:16,703.15
2024-02-09 09:16:17,703.1
2024-02-09 09:16:18,703
2024-02-09 09:16:19,702.9
2024-02-09 09:16:20,702.9
2024-02-09 09:16:21,702.5
2024-02-09 09:16:22,702.55
2024-02-09 09:16:23,702.6
2024-02-09 09:16:24,702.5
2024-02-09 09:16:25,702.35
2024-02-09 09:16:26,702.4
2024-02-09 09:16:27,702.45
2024-02-09 09:16:28,702.15
2024-02-09 09:16:29,701.95
2024-02-09 09:16:30,702.1
2024-02-09 09:16:31,702.1
2024-02-09 09:16:32,702.1
2024-02-09 09:16:33,702
2024-02-09 09:16:34,702.15
2024-02-09 09:16:35,702
2024-02-09 09:16:36,702
2024-02-09 09:16:37,702.5
2024-02-09 09:16:38,702.45
2024-02-09 09:16:39,702.3
2024-02-09 09:16:40,702.4
2024-02-09 09:16:41,702.6
2024-02-09 09:16:42,702.85
2024-02-09 09:16:43,703.1
2024-02-09 09:16:44,703.05
2024-02-09 09:16:45,703.1
2024-02-09 09:16:46,703.4
2024-02-09 09:16:47,703.35
2024-02-09 09:16:48,703.1
2024-02-09 09:16:49,702.8
2024-02-09 09:16:50,702.45
2024-02-09 09:16:51,702.35
2024-02-09 09:16:52,702.4
2024-02-09 09:16:53,702.4
2024-02-09 09:16:54,702.25
2024-02-09 09:16:55,702.45
2024-02-09 09:16:56,702.4
2024-02-09 09:16:57,702.35
2024-02-09 09:16:58,702.2
2024-02-09 09:16:59,702.2
2024-02-09 09:17:00,702.55
2024-02-09 09:17:01,702.45
2024-02-09 09:17:02,702.4
2024-02-09 09:17:03,702.25
2024-02-09 09:17:04,701.75
2024-02-09 09:17:05,701.7
2024-02-09 09:17:06,701.65
2024-02-09 09:17:07,701.5
2024-02-09 09:17:08,701.4
2024-02-09 09:17:09,700.75
2024-02-09 09:17:10,701
2024-02-09 09:17:11,701.5
2024-02-09 09:17:12,701.5
2024-02-09 09:17:13,701.6
2024-02-09 09:17:14,701.5
2024-02-09 09:17:15,701.55
2024-02-09 09:17:16,701.7
2024-02-09 09:17:17,701.7
2024-02-09 09:17:18,701.7
2024-02-09 09:17:19,702.1
2024-02-09 09:17:20,701.6
2024-02-09 09:17:21,702.1
2024-02-09 09:17:22,702.1
2024-02-09 09:17:23,702.35
2024-02-09 09:17:24,702.1
2024-02-09 09:17:25,702.2
2024-02-09 09:17:26,702.05
2024-02-09 09:17:27,701.95
2024-02-09 09:17:28,701.7
2024-02-09 09:17:29,701.9
2024-02-09 09:17:30,701.7
2024-02-09 09:17:31,701.6
2024-02-09 09:17:32,701.6
2024-02-09 09:17:33,701.6
2024-02-09 09:17:34,701.35
2024-02-09 09:17:35,701.85
2024-02-09 09:17:36,701.9
2024-02-09 09:17:37,701.6
2024-02-09 09:17:38,701.5
2024-02-09 09:17:39,701.8
2024-02-09 09:17:40,701.45
2024-02-09 09:17:41,701.75
2024-02-09 09:17:42,701.65
2024-02-09 09:17:43,701.1
2024-02-09 09:17:44,700.95
2024-02-09 09:17:45,701.2
2024-02-09 09:17:46,701.3
2024-02-09 09:17:47,701.25
2024-02-09 09:17:48,700.75
2024-02-09 09:17:49,700.95
2024-02-09 09:17:50,700.6
2024-02-09 09:17:51,700.45
2024-02-09 09:17:52,700.45
2024-02-09 09:17:53,700.5
2024-02-09 09:17:54,700.5
2024-02-09 09:17:55,700.7
2024-02-09 09:17:56,700.45
2024-02-09 09:17:57,700.2
2024-02-09 09:17:58,700.2
2024-02-09 09:17:59,700.2
2024-02-09 09:18:00,700.15
2024-02-09 09:18:01,700.2
2024-02-09 09:18:02,700.35
2024-02-09 09:18:03,700.05
2024-02-09 09:18:04,699.8
2024-02-09 09:18:05,700.1
2024-02-09 09:18:06,699.9
2024-02-09 09:18:07,699.75
2024-02-09 09:18:08,699.8
2024-02-09 09:18:09,699.85
2024-02-09 09:18:10,699.7
2024-02-09 09:18:11,699.6
2024-02-09 09:18:12,699.55
2024-02-09 09:18:13,699.5
2024-02-09 09:18:14,699.3
2024-02-09 09:18:15,699.65
2024-02-09 09:18:16,699.6
2024-02-09 09:18:17,699.6
2024-02-09 09:18:18,699.35
2024-02-09 09:18:19,699.65
2024-02-09 09:18:20,699.5
2024-02-09 09:18:21,699.7
2024-02-09 09:18:22,699.75
2024-02-09 09:18:23,699.7
2024-02-09 09:18:24,699.7
2024-02-09 09:18:25,699.35
2024-02-09 09:18:26,699.3
2024-02-09 09:18:27,699.6
2024-02-09 09:18:28,699.6
2024-02-09 09:18:29,699.25
2024-02-09 09:18:30,699.55
2024-02-09 09:18:31,699.55
2024-02-09 09:18:32,699.45
2024-02-09 09:18:33,699.3
2024-02-09 09:18:35,699
2024-02-09 09:18:36,699.2
2024-02-09 09:18:37,699.3
2024-02-09 09:18:38,699.3
2024-02-09 09:18:39,699.2
